command,mean,stddev,median,user,system,min,max
webgraph_build_naive_O0,0.0021642485577439597,0.0002873336725531914,0.0021498660000000003,0.00039427126230975824,0.00032560519247985673,0.0016149690000000002,0.0034965850000000004
webgraph_build_efficient_O0,0.0018381939855167905,0.000260468970241584,0.00183229,0.00033150757077024366,0.00027282290980908504,0.001402868,0.002909998
webgraph_tarjan_naive_O0,0.002293240088514997,0.0002599907408853299,0.0022976620000000002,0.0005521909290416975,0.0003515376737381126,0.0018154570000000001,0.003448852
webgraph_tarjan_efficient_O0,0.0021446246203208515,0.00027055204762852105,0.0021548885,0.00045096925133689825,0.00033266711229946533,0.001678632,0.003721082
webgraph_dijkstra_naive_O0,0.003171878621183207,0.0003947118206296032,0.0031223785,0.0010213072519083975,0.0004710295801526719,0.002458926,0.005354234
webgraph_dijkstra_efficient_O0,0.0029794096842546075,0.0004116570346034544,0.002896617,0.0008003056951423794,0.00042182663316582905,0.002283294,0.005160087000000001
dlist_append_naive_O0,0.006738857114470848,0.000952963809917169,0.0065092710000000005,0.0020293822894168465,0.002708319654427645,0.005434260000000001,0.011352144000000002
dlist_append_cpp_aos_O0,0.005004383254110612,0.0006363881898007619,0.004874873,0.0017482944693572495,0.0012458355754858001,0.0040351910000000005,0.008613802
dlist_append_cpp_soa_O0,0.00485393599356913,0.0004176328474515769,0.0047859975,0.0016455401929260432,0.0012300498392282962,0.0041023380000000005,0.00714342
dlist_traverse_naive_O0,0.007178000113585749,0.0010068828399169938,0.006925438000000001,0.0023228975501113584,0.002883146993318487,0.005491923,0.012059734
dlist_traverse_cpp_aos_O0,0.005291829314350796,0.0004271409004425834,0.005209413,0.0018671412300683375,0.0013649544419134397,0.004465131000000001,0.007035277
dlist_traverse_cpp_soa_O0,0.0051278577622699386,0.0003676979357701782,0.0050762295,0.0019202883435582815,0.0011860582822085892,0.004424552,0.006958191000000001
dlist_remove_all_naive_O0,0.015432158915966384,0.0029909865389846353,0.015076249,0.0089817268907563,0.004377210084033615,0.010365563000000001,0.031591988
dlist_remove_all_cpp_aos_O0,0.011559303931250002,0.0038432766692968324,0.010177373,0.0068390062500000015,0.002684831250000002,0.007727813000000001,0.027631104
dlist_remove_all_cpp_soa_O0,0.00794830002873563,0.0007541951301229434,0.007763336000000001,0.004122991379310343,0.0018222270114942522,0.006749136,0.011426659
dlist_remove_half_traverse_naive_O0,0.012162007555118115,0.0013219756377725429,0.012045447,0.0058802165354330735,0.004217342519685038,0.009784106,0.016338696
dlist_remove_half_traverse_cpp_aos_O0,0.00843418329310346,0.0009598156294062845,0.008279731,0.004108158045977013,0.0021345775862068946,0.0070390190000000005,0.015916798
dlist_remove_half_traverse_cpp_soa_O0,0.007657767390428206,0.0007992228486895666,0.007451035000000001,0.00376513853904282,0.0018889798488664993,0.006376845000000001,0.012871076
webgraph_build_naive_O1,0.0020327457292929336,0.0005132811068654377,0.0019306700000000002,0.0002075629629629628,0.0003150565656565655,0.0013462580000000001,0.011231781000000001
webgraph_build_efficient_O1,0.0017093913649553572,0.00029156365243512914,0.0016767740000000002,0.0001855223214285715,0.00024656249999999977,0.001236296,0.003511333
webgraph_tarjan_naive_O1,0.0018622473873383246,0.0003023159742658697,0.0018202370000000002,0.00021654390742001367,0.00030807147719537077,0.0013644640000000001,0.0038590570000000004
webgraph_tarjan_efficient_O1,0.0017142017489754093,0.0003097705678382932,0.0016822445,0.00024704661885245914,0.00026286629098360673,0.001259481,0.003268963
webgraph_dijkstra_naive_O1,0.0020606146024182105,0.0003215885119418647,0.0020339505000000003,0.00034883072546230444,0.00030600924608819343,0.0015424290000000001,0.003555552
webgraph_dijkstra_efficient_O1,0.0018268879876923104,0.0003348018223756806,0.0017863675,0.0002885730769230769,0.0002903630769230768,0.001361068,0.004411107
dlist_append_naive_O1,0.006944310571428579,0.0012455919517285244,0.0065954485,0.0018583225806451606,0.0029824562211981567,0.005171801,0.013014625
