command,mean,stddev,median,user,system,min,max
webgraph_build_naive_O0,0.003938637105063291,0.0004065207873505103,0.0038843505000000006,0.001287320253164557,0.000733951898734177,0.0032126950000000002,0.008201430000000001
webgraph_build_efficient_O0,0.0028905622769753577,0.00030406772444710185,0.002871784,0.0007098317757009351,0.00045294052676295675,0.00226587,0.004347964
webgraph_tarjan_naive_O0,0.004883052116138762,0.0004472632747981749,0.004813396,0.0021087028657616907,0.0008778687782805436,0.004090956000000001,0.008824536000000001
webgraph_tarjan_efficient_O0,0.00413195779851852,0.000310926149562612,0.004100404,0.0015724444444444453,0.0007999703703703701,0.003377834,0.006651668
webgraph_dijkstra_naive_O0,0.017655444763005783,0.0008783800649899849,0.017461762000000002,0.013747358381502884,0.001808300578034682,0.016663104,0.024904721
webgraph_dijkstra_efficient_O0,0.01626089152972973,0.00039184727896947693,0.016204686,0.012593470270270269,0.0014575351351351353,0.015465584000000001,0.018183299
dlist_append_naive_O0,0.04292800917142856,0.0012418590903148837,0.0426854335,0.020121000000000003,0.021069571428571434,0.041076754,0.048868772000000005
dlist_append_cpp_aos_O0,0.030843081731958766,0.0017355705787795849,0.030382745000000003,0.01966714432989691,0.009154051546391753,0.029380603,0.039539838
dlist_append_cpp_soa_O0,0.030276211887755117,0.0005876066571911859,0.030196423500000003,0.01901542857142857,0.009200979591836732,0.029375283000000002,0.033206597000000004
dlist_traverse_naive_O0,0.0439815770151515,0.000853834864422903,0.043954799,0.020346893939393935,0.02222240909090909,0.042173359,0.047259002
dlist_traverse_cpp_aos_O0,0.034847463613636366,0.0015647031039787316,0.034644437,0.02337282954545454,0.009583170454545454,0.033092375,0.046720538000000006
dlist_traverse_cpp_soa_O0,0.033918828102272744,0.0008237504876565426,0.0338401485,0.02243120454545454,0.009573579545454545,0.032865864,0.038321206000000003
dlist_remove_all_naive_O0,0.24468214691666668,0.006124956832001392,0.24219997000000001,0.21593150000000003,0.02797683333333333,0.23838318000000003,0.26001497100000004
